date	hours	sales	transactions	items
2010-01-26	16	3865.5400000000036	109	1128
2010-01-26	17	4390.140000000004	121	1328
2010-01-26	18	5052.689999999999	151	1499
2010-01-26	19	4229.790000000002	106	1271
2010-01-26	20	3128.5800000000017	94	971
2010-01-26	21	2589.310000000002	91	821
2010-01-26	22	355.7799999999999	6	119
2010-01-27	9	1531.2900000000009	50	428
2010-01-27	10	2523.1399999999994	74	726
2010-01-27	11	4035.9800000000023	102	1194
2010-01-27	12	5012.2900000000045	119	1323
2010-01-27	13	4408.76	112	1212
2010-01-27	14	4727.870000000002	124	1405
2010-01-27	15	5347.249999999994	128	1523
2010-01-27	16	5037.259999999998	111	1321
2010-01-27	17	5375.610000000002	131	1527
2010-01-27	18	4482.889999999998	135	1386
2010-01-27	19	4424.550000000001	93	1182
2010-01-27	20	2937.6400000000017	91	887
2010-01-27	21	2628.720000000002	76	771
2010-01-27	22	41.199999999999996	2	7
2010-01-28	9	1629.3500000000008	48	496
2010-01-28	10	2315.7000000000007	63	622
2010-01-28	11	4458.3200000000015	114	1289
2010-01-28	12	4885.919999999998	113	1316
2010-01-28	13	5272.110000000003	106	1398
2010-01-28	14	5021.979999999997	145	1424
2010-01-28	15	5975.840000000008	143	1659
2010-01-28	16	5200.610000000001	105	1500
2010-01-28	17	4991.730000000003	152	1564
2010-01-28	18	4571.459999999979	125	1258
2010-01-28	19	3885.960000000001	90	1111
2010-01-28	20	3274.270000000005	87	953
2010-01-28	21	2978.3700000000035	61	902
2010-01-28	22	41.25	2	18
2010-01-29	9	2469.600000000002	59	598
2010-01-29	10	3860.2200000000003	82	1103
2010-01-29	11	3935.9800000000023	96	1106
2010-01-29	12	5410.13	134	1473
2010-01-29	13	4739.499999999984	122	1338
2010-01-29	14	6925.439999999991	146	1884
2010-01-29	15	5002.26	137	1486
2010-01-29	16	7053.459999999974	169	2017
2010-01-29	17	6504.7499999999945	153	1830
2010-01-29	18	4792.629999999998	115	1348
2010-01-29	19	5075.91	110	1435
2010-01-29	20	3202.8700000000017	77	938
2010-01-29	21	2244.370000000001	61	662
2010-01-29	22	193.9	2	53
2010-01-30	8	33.61	4	10
2010-01-30	9	3739.600000000001	71	947
2010-01-30	10	6033.8099999999995	124	1741
2010-01-30	11	7870.379999999945	135	2012
2010-01-30	12	8374.879999999928	173	2287
2010-01-30	13	7883.079999999933	161	2204
2010-01-30	14	8578.869999999912	166	2328
2010-01-30	15	9650.789999999895	176	2523
2010-01-30	16	11682.109999999866	216	3137
2010-01-30	17	7819.699999999944	174	2333
2010-01-30	18	5438.860000000001	153	1631
2010-01-30	19	4823.280000000002	109	1443
2010-01-30	20	3816.2400000000007	85	1102
2010-01-30	21	115.05000000000001	9	35
2010-01-31	9	4253.62	78	1160
2010-01-31	10	5999.190000000001	105	1729
2010-01-31	11	7002.599999999975	138	1956
2010-01-31	12	7240.519999999982	163	2007
2010-01-31	13	9539.289999999888	162	2762
2010-01-31	14	8437.929999999917	160	2437
2010-01-31	15	8119.379999999941	165	2352
2010-01-31	16	7603.399999999941	155	2337
2010-01-31	17	9133.83000000054	173	2593
2010-01-31	18	9392.829999999862	197	2916
2010-01-31	19	5205.739999999996	106	1522
2010-01-31	20	3203.3600000000033	80	964
2010-01-31	21	346.3399999999999	7	114
2010-02-01	8	13.55	1	5
2010-02-01	9	942.27	38	308
2010-02-01	10	4030.7700000000004	70	1142
2010-02-01	11	4295.530000000002	101	1290
2010-02-01	12	4414.34	107	1258
2010-02-01	13	4011.350000000002	106	1235
2010-02-01	14	5226.079999999999	130	1416
2010-02-01	15	4093.2000000000007	112	1231
2010-02-01	16	4802.11	113	1557
2010-02-01	17	4563.000000000004	118	1547
2010-02-01	18	4922.44	123	1645
2010-02-01	19	3525.140000000003	102	1174
2010-02-01	20	2853.9900000000016	75	923
2010-02-01	21	2347.280000000001	67	770
2010-02-01	22	311.09000000000003	8	95
2010-02-02	8	9.48	1	4
2010-02-02	9	1370.58	42	472
2010-02-02	10	2024.2800000000013	71	626
2010-02-02	11	4822.850000000001	108	1369
2010-02-02	12	4977.8	110	1564
2010-02-02	13	4622.239999999996	108	1376
2010-02-02	14	5606.110000000002	139	1613
2010-02-02	15	5455.590000000002	138	1705
2010-02-02	16	4675.21	141	1381
2010-02-02	17	5248.8300000000045	137	1716
2010-02-02	18	5825.210000000003	167	1913
